fold,train_paths,val_path,test_path,n_train,n_val,n_test,best_epoch,best_val_bal_acc,dummy_balanced_accuracy,dummy_macro_f1,dummy_weighted_f1,dummy_accuracy,mlp_balanced_accuracy,mlp_macro_f1,mlp_weighted_f1,mlp_accuracy,class_weights
0,"[""Cubiculo_13-Laboratorio_I"", ""Cubiculo_3-Laboratorio_E"", ""Sala_E-Laboratorio_A""]",Cuarto_O-Laboratorio_M,Almacen-Laboratorio_J,891,231,518,21,0.5847242995481534,0.25,0.1810344827586207,0.4109972041006524,0.5675675675675675,0.45754266618928274,0.4397033631097044,0.5366974805633717,0.5115830115830116,"[0.44639278557114226, 1.272857142857143, 1.7134615384615384, 2.560344827586207]"
1,"[""Almacen-Laboratorio_J"", ""Cubiculo_3-Laboratorio_E"", ""Sala_E-Laboratorio_A""]",Cubiculo_13-Laboratorio_I,Cuarto_O-Laboratorio_M,1086,323,231,10,0.48182744473169326,0.25,0.19843342036553524,0.522283634555175,0.658008658008658,0.5771372876636034,0.43910414104141043,0.6076372581907638,0.6190476190476191,"[0.4364951768488746, 1.6160714285714286, 1.625748502994012, 2.104651162790698]"
2,"[""Almacen-Laboratorio_J"", ""Cuarto_O-Laboratorio_M"", ""Sala_E-Laboratorio_A""]",Cubiculo_3-Laboratorio_E,Cubiculo_13-Laboratorio_I,968,349,323,64,0.4742266872278665,0.25,0.17307692307692307,0.36651583710407243,0.5294117647058824,0.44758507715070805,0.428933204645046,0.5424068530671069,0.5201238390092879,"[0.4306049822064057, 1.6923076923076923, 1.7925925925925925, 1.890625]"
3,"[""Almacen-Laboratorio_J"", ""Cuarto_O-Laboratorio_M"", ""Cubiculo_13-Laboratorio_I""]",Sala_E-Laboratorio_A,Cubiculo_3-Laboratorio_E,1072,219,349,12,0.45645190562613436,0.25,0.1889483065953654,0.459106487085587,0.6074498567335244,0.41253174891146593,0.3866119906926008,0.5235446594028473,0.4871060171919771,"[0.4343598055105348, 1.4408602150537635, 1.9705882352941178, 2.0150375939849625]"
4,"[""Cuarto_O-Laboratorio_M"", ""Cubiculo_13-Laboratorio_I"", ""Cubiculo_3-Laboratorio_E""]",Almacen-Laboratorio_J,Sala_E-Laboratorio_A,903,518,219,9,0.49256698293352424,0.25,0.17313432835820897,0.36682341716077155,0.5296803652968036,0.36413339382940113,0.305306823760432,0.370722097811492,0.3744292237442922,"[0.4219626168224299, 1.3935185185185186, 1.997787610619469, 2.4274193548387095]"
