epoch,train_loss,val_loss,val_bal_acc,fold,test_path,val_path
1,1.378964560372489,1.336788386106491,0.37937220964597873,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
2,1.3186375413622176,1.329802930355072,0.49976503759398494,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
3,1.2762480633599418,1.2899101674556732,0.5195018796992481,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
4,1.2379276837621416,1.2678443491458893,0.5077363547758285,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
5,1.2043378608567374,1.239500254392624,0.49951267056530213,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
6,1.1794143915176392,1.2150317132472992,0.5116349902534113,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
7,1.1392597470964705,1.169985294342041,0.49876792114695334,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
8,1.1089179004941667,1.1631976068019867,0.5138888888888888,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
9,1.0857826726777213,1.1541350781917572,0.5405962823725982,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
10,1.0427764398711068,1.1369821727275848,0.5654997709327081,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
11,1.0441547206469945,1.1539883315563202,0.5673036758563075,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
12,1.0103837932859148,1.134450912475586,0.5738826232247285,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
13,0.9868656950337547,1.1433163583278656,0.5735642870617403,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
14,0.9850960842200688,1.1575705409049988,0.5600807574491785,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
15,0.9621358556406838,1.1593515276908875,0.5504298941798942,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
16,0.94847315124103,1.163415938615799,0.543532610648485,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
17,0.9393612231527056,1.1748885214328766,0.5272444103089264,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
18,0.9283728344099862,1.1732269525527954,0.5404023050457685,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
19,0.9277803216661725,1.190889149904251,0.5524662350320244,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
20,0.8951963824885232,1.1868655681610107,0.5418878738063797,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
21,0.8937483089310783,1.17593052983284,0.5847242995481534,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
22,0.8968906402587891,1.1842752695083618,0.5484668211748007,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
23,0.8928198218345642,1.202280730009079,0.5613796475956917,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
