metric,mean,std
dummy_balanced_accuracy,0.25,0.0
dummy_macro_f1,0.1829254922309307,0.010876663655329102
dummy_weighted_f1,0.42514531600125166,0.06638569654558285
dummy_accuracy,0.5784236424624872,0.054936830557003255
mlp_balanced_accuracy,0.4517860347488923,0.07903734540446328
mlp_macro_f1,0.39993190464983874,0.057202785016354306
mlp_weighted_f1,0.5162016698071163,0.08758636034729206
mlp_accuracy,0.5024579421152375,0.08748648166947891
